Name,Destination,Duration,Price,Link,Itinerary
Famree Resort Hunza Tour,Hunza,5 Days 4 Nights,"Rs. 275,000",https://pakistantourntravel.com/famree-resort-hunza-tour/,"Includes continental breakfast, air ticket (Islamabad to Gilgit), and private transport. Features terrace and basecamp for hiking/trekking. Offers Passu Cones views and optional speed boat adventures near Attabad Lake."
Hunza Tour by Air,Hunza,5 Days 4 Nights,"Rs. 350,000",https://pakistantourntravel.com/super-deluxe-hunza-honeymoon-tour/,"Day 01: Fly Islamabad to Gilgit, transfer to Hunza, explore Altit Forts and Karimabad Bazar. Day 02: Visit Hooper for moving Glaciers, overnight stay at Duiker. Day 03: Visit Attabad Lake and enjoy boating/relaxation at Luxus Resort. Day 04: Head to Naltar Valley for 6 hours, move to Gilgit. Day 05: Breakfast and transfer to Gilgit Airport."
Darbar Hunza Tour,Hunza,4 Days 3 Nights,"Rs. 250,000",https://pakistantourntravel.com/darbar-hunza-4days-3nights-tour/,"Day 01: Fly Islamabad to Gilgit, drive to Hunza Valley, visit Central Hunza and Altit Village/Fort. Day 02: Visit Attabad Lake, see Upper Hunza & Gulmit Village. Day 03: Visit Naltar Valley (use 4x4 jeep to explore Naltar Lake), drive to Gilgit for night stay. Day 04: Breakfast and transfer to Gilgit Airport."
Luxus Hunza Tour,Hunza,4 Days 3 Nights,"Rs. 350,000",https://pakistantourntravel.com/luxus-hunza-tour-package-4-days-3-nights/,"Day 01: Fly Islamabad to Gilgit, visit Karimabad Bazar & Altit Fort. Day 02: Explore Gulmit Village, Husseini bridge, Passu Cones views, and Passu Glaciers areas. Day 03: Boating at Attabad Lake, relax at the resort. Day 04: Breakfast and transfer to Gilgit Airport."
Hunza Tour by road,Hunza,7 Days 6 Nights,"Rs. 275,000",https://pakistantourntravel.com/honeymoon-tours/hunza-valley-07days-tour/,"Day 1: Depart Islamabad/Rawalpindi to Chilas Valley via Karakorum Highway (KKH). Day 2: Drive to Hunza, short stay at Nanga Parbat sighting point. Day 3: Full-day activity at Pakistan-China Border Khunjerab Pass. Day 4: Visit Sost, Attahabad Lake (boating), and Hussaini Bridge. Day 5: Visit Naltar Valley on Private Jeep. Day 6: Drive to Naran Valley. Day 7: Drive from Naran back to Islamabad."
Cherry Blossom Trip,Hunza,7 Days 6 Nights,"Rs. 225,000",https://pakistantourntravel.com/tours/cherry-blossom-hunza-packages/,"Ideal for couples in March/April. Experience friendly local culture in Karimabad Bazar and Gulmit. Trekking from Aliabad to Karimabad with views of Rakaposhi. See Pink & White showers in Gulmit meadows, quick boat tour of Attabad Lake."
Family Hunza Tour,Hunza,7 Days 6 Nights,"Rs. 225,000",https://pakistantourntravel.com/honeymoon-tours/hunza-valley-07days-tour/,"Day 1: Depart Islamabad/Rawalpindi to Chilas Valley via KKH. Day 2: Drive to Hunza, stop at Nanga Parbat sighting point. Day 3: Visit Pakistan-China Border Khunjerab Pass. Day 4: Visit Sost, Attahabad Lake (boating), and Hussaini Bridge. Day 5: Visit Naltar Valley on Private Jeep. Day 6: Drive to Naran Valley. Day 7: Drive from Naran back to Islamabad."
Naran Hunza Trip,Hunza,10 Days 9 Nights,"Rs. 280,000",https://pakistantourntravel.com/hunza-naran-valley-tour/,"Day 01: Islamabad to Shogran (Kewai Waterfall). Day 02: Visit Siri Paye Meadows on 4x4, reach Naran. Day 03: Visit Lake Saiful Muluk on 4x4. Day 04: Rafting on Kunhar River, stop at Babusar Top, reach Nagar Valley. Day 05: Visit Naltar Valley on 4x4. Day 06: Visit Altit Fort in Karimabad. Day 07: Travel to Khunjerab Pass, see Passu Cones, Attabad Lake. Day 08: Visit Hooper Valley (Glaciers). Day 09: Drive back to Naran Valley. Day 10: Travel back to Islamabad."
Green Pak Hunza Trip,Hunza,7 Days 6 Nights,"Rs. 250,000",https://pakistantourntravel.com/tours/hunza-valley-tour-packages/7-day-green-pak-hunza-trip/,"Day 1: Islamabad to Naran. Day 2: Naran to Hunza via Babusar Top, check into Green Pak Hunza. Day 3: Explore Karimabad Bazaar, Altit Village, Altit Fort. Day 4: Upper Hunza and Attabad Lake, cross Hussaini Bridge. Day 5: Day tour to Naltar Valley (Satrangi Lake and Blue Lake). Day 6: Leave Naltar Valley for Naran. Day 7: Back to Islamabad."
Phander Gupis Hunza,Hunza,8 Days 7 Nights,"Rs. 270,000",https://pakistantourntravel.com/tours/hunza-valley-tour-packages/hunza-phander-gupis-tour/,"Day 1: Islamabad to Naran. Day 2: Naran to Upper Hunza via KKH. Day 3: Visit Passu Glacier, Passu Cones, Attabad Lake (boating), Hussaini Suspension Bridge. Day 4: Visit Karimabad, Altit Fort, drive to Gilgit. Day 5: Drive to Phander Valley, see Phander Lake. Day 6: Visit Gupis Valley and Kalti Lake. Day 7: Drive back to Naran. Day 8: Return to Islamabad."
Murree Naran Hunza Tour,Hunza,8 Days 7 Nights,"Rs. 235,000",https://pakistantourntravel.com/tours/hunza-valley-tour-packages/murree-naran-hunza-tour/,"Day 1: Islamabad to Naran via Hazara Motorway (Kiwai Waterfall). Day 2: Lake Saiful Muluk (jeep ride), rafting, Lulusar Lake. Day 3: Naran to Hunza via Babusar Pass (Rakaposhi Viewpoint). Day 4: Visit Altit/Baltit Forts, Karimabad Market, Attabad Lake, Duiker Viewpoint. Day 5: Hunza to Khunjerab Pass (Passu Cones, Hussaini Bridge). Day 6: Return drive to Naran. Day 7: Travel to Nathiagali (Ayubia National Park). Day 8: Nathiagali to Murree (Mall Road, Patriata Chairlift), then Islamabad."
Gilgit Hunza Trip,Hunza,10 Days 9 Nights,"Rs. 275,000",https://pakistantourntravel.com/tours/hunza-valley-tour-packages/10-days-gilgit-hunza-tour/,"Day 1: Islamabad to Naran (Kawai Waterfall, Kunhar River). Day 2: Naran to Hunza via KKH (Nanga Parbat, Rakaposhi Viewpoint). Day 3: Attabad Lake, Passu Cones, Khunjerab Pass. Day 4: Altit and Baltit Fort, local shopping. Day 5: Journey to Skardu. Day 6: Shangrila Lake, Upper Kachura Lake, Skardu Bazaar. Day 7: Shiger Fort, Cold Desert, Manthoka Waterfall. Day 8: Sadpara Lake and Deosai National Park. Day 9: Skardu to Naran. Day 10: Naran to Islamabad."
Skardu Hunza Tour,Hunza,11 Days 10 Nights,"Rs. 1,500,000",https://pakistantourntravel.com/tours/skardu-tour-packages/karakoram-hunza-skardu-tour/,"Day 1: Islamabad to Besham via KKH. Day 2-3: Visit Khunjerab Pass (Pakistan-China border). Day 4-5: Explore Hunza (Attabad Lake, Altit-Baltit Fort, Karimabad, Gojal Valley). Day 6-8: Move to Skardu (Shangri-La Lake, Khaplu Fort, Chnaqchan Mosque). Day 9: Visit Chilas (Nanga Parbat viewpoint). Day 10-11: Return to Islamabad."
